gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000121621,96.77027367267256,-1.7201315239838846,0.35950312461884076,2.972743434397e-7,1.903667103970864e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000235027,93.43998800185162,-1.7158637933836454,0.35864676885264973,2.979046730925535e-7,1.9071943059545163e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000243364,119.53413241965796,-1.3297526036525753,0.2728840808063392,3.0049442821882136e-7,1.9227474326424156e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000165322,1901.3086512159264,-1.4296274261862092,0.29607439888545733,3.0073544582613895e-7,1.9237763301687023e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000183340,247.83704164827762,-1.1639625540970888,0.23680105397745732,3.019056921830014e-7,1.9302325539676725e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000105355,1077.5581165676876,-1.2587725324491323,0.25774440860215747,3.0315378548193615e-7,1.9376956512334204e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000154719,259.61104791581295,-1.118936888565968,0.2272561780318576,3.0433500600770363e-7,1.9442094070529432e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000005448,155.08115275834587,-1.437394817693233,0.29677651735492844,3.0531661540665283e-7,1.948922829566768e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000116675,86.42735681496723,-1.7428903800349647,0.36515536057191655,3.0916050277631726e-07,1.9718848876546917e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000102981,62.369665805938276,-1.7652866878622346,0.37039198952920754,3.130029005455151e-7,1.9942708716478595e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000134061,1113.0724660192968,-1.2682040876547926,0.25954019663208533,3.1463877972897475e-7,2.0041612790067124e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000278238,21.752400632476974,-2.840816648431766,0.6115295488659815,3.1701121013097835e-7,2.0187368139567507e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000182512,332.40257714530117,-1.1742121983596898,0.23982332787272884,3.183823799914571e-7,2.025854666212556e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000164323,658.3186248947375,-1.1062692739634465,0.22489129181269948,3.2004485731593073e-7,2.034273991028532e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000290872,159.02695864565504,-1.0940902009639675,0.22222226430214662,3.1998433522224857e-7,2.034273991028532e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000159228,270.11668223333595,-1.3461766091722718,0.2777367523047565,3.203683120041803e-7,2.0357903705575654e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000148484,2064.6270177810966,-1.0930400731590368,0.22212689119953083,3.2046502134902104e-7,2.03586546807741e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000151665,442.16236825758233,-1.2492799855786596,0.25606434273916634,3.223078702080788e-7,2.0459468881233843e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000136732,793.5783967943653,-1.1114714442397378,0.22625201423499167,3.245270646338062e-7,2.059488770586912e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000198258,394.233771029282,-1.067056057359087,0.2165016216795349,3.246929489270663e-7,2.0599963759706094e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000167711,46.499794699490316,-2.1505640699159323,0.4581607503482528,3.257836432203435e-7,2.066369566704649e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000255364,26.54119004431294,-3.835518577648938,0.8349120603951642,3.259473405645616e-7,2.0668612166629604e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000049323,910.333214557328,-1.7340606539186452,0.3644839976083623,3.3185338472401045e-7,2.100424352718717e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000117410,2959.4566092881573,-1.4367846052553366,0.29918409805734597,3.405839884581501e-7,2.1488779824265605e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000289152,68.66512419315264,-1.7166652385996488,0.360749528700316,3.4271696513679883e-7,2.1606304568640143e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000125967,156.23794172632887,-1.3255894439942768,0.27356413006451064,3.4617640121139794e-7,2.1800934391626563e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000080822,2131.7268990558114,-1.0503981764350148,0.2137134979528449,3.4802658292826353e-7,2.19007439301643e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000161513,151.36475072286817,-1.452346416571583,0.30200934968127496,3.5399391002786305e-7,2.225873610458367e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000184986,20.810196381549904,-3.193778822538684,0.6960160582437473,3.5672701738221904e-7,2.2412961306943614e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000288865,82.27282821079604,-2.4143907210223547,0.5213747196824459,3.6040732001150663e-7,2.263168204602121e-6,stroke_d1 vs control (ACUTE),Downregulated
